DATE       ,MAX_TEMPERATURE_C ,MIN_TEMPERATURE_C ,WINDSPEED_MAX_KMH ,TEMPERATURE_MORNING_C ,TEMPERATURE_NOON_C ,TEMPERATURE_EVENING_C ,PRECIP_TOTAL_DAY_MM ,HUMIDITY_MAX_PERCENT ,VISIBILITY_AVG_KM ,PRESSURE_MAX_MB ,CLOUDCOVER_AVG_PERCENT ,HEATINDEX_MAX_C ,DEWPOINT_MAX_C ,WINDTEMP_MAX_C ,WEATHER_CODE_MORNING ,WEATHER_CODE_NOON ,WEATHER_CODE_EVENING ,TOTAL_SNOW_MM ,UV_INDEX ,SUNHOUR ,OPINION                ,SUNSET   ,SUNRISE  ,TEMPERATURE_NIGHT_C
2019-01-01 ,1                 ,-11               ,               18 ,0                     ,-1                 ,-10                   ,               29.5 ,                  95 ,            7.875 ,           1025 ,                54.75  ,              1 ,             0 ,-11            ,                 338 ,              323 ,                 113 ,         13   ,       1 ,    8.7 ,météo très défavorable ,16:21:00 ,07:35:00 ,1
2019-01-02 ,-9                ,-18               ,                6 ,-18                   ,-9                 ,-12                   ,                0   ,                  73 ,           10     ,           1030 ,                38.25  ,              0 ,             0 ,-21            ,                 113 ,              113 ,                 122 ,          0   ,       2 ,    8.7 ,météo très défavorable ,16:22:00 ,07:35:00 ,-18
2019-01-03 ,-6                ,-13               ,               12 ,-13                   ,-7                 ,-7                    ,                5.6 ,                  95 ,            6.375 ,           1017 ,                94.875 ,              0 ,             0 ,-18            ,                 338 ,              326 ,                 326 ,          4.8 ,       1 ,    5.1 ,météo très défavorable ,16:23:00 ,07:35:00 ,-13
2019-01-04 ,2                 ,-4                ,               17 ,0                     ,2                  ,1                     ,                1.5 ,                  93 ,            7.75  ,           1011 ,                91.125 ,              2 ,             1 ,-5             ,                 338 ,              122 ,                 119 ,          1.3 ,       1 ,    3.3 ,météo très défavorable ,16:24:00 ,07:35:00 ,-2
2019-01-05 ,0                 ,-3                ,               10 ,-3                    ,0                  ,-1                    ,                0.2 ,                  99 ,            7.5   ,           1007 ,                71.125 ,              0 ,             0 ,-3             ,                 116 ,              248 ,                 326 ,          0.2 ,       2 ,    5.1 ,météo très défavorable ,16:25:00 ,07:34:00 ,-2
2019-01-06 ,-1                ,-11               ,               23 ,-4                    ,-4                 ,-9                    ,                0.7 ,                  92 ,            8.375 ,           1029 ,                49.875 ,              0 ,             0 ,-13            ,                 332 ,              329 ,                 113 ,          0.6 ,       1 ,    8.7 ,météo très défavorable ,16:26:00 ,07:34:00 ,-2
2019-01-07 ,-10               ,-13               ,                8 ,-13                   ,-10                ,-12                   ,                0   ,                  77 ,           10     ,           1036 ,                49.375 ,              0 ,             0 ,-17            ,                 113 ,              113 ,                 122 ,          0   ,       2 ,    5.1 ,météo très défavorable ,16:27:00 ,07:34:00 ,-12
2019-01-08 ,2                 ,-9                ,               19 ,-2                    ,2                  ,0                     ,               14.2 ,                  95 ,            5.25  ,           1019 ,               100     ,              2 ,             1 ,-9             ,                 230 ,              296 ,                 122 ,          2.7 ,       1 ,    3.4 ,météo très défavorable ,16:28:00 ,07:34:00 ,-3
2019-01-09 ,0                 ,-2                ,               12 ,-2                    ,0                  ,-1                    ,                9.3 ,                  96 ,            2.375 ,           1000 ,               100     ,              0 ,             0 ,-6             ,                 338 ,              338 ,                 338 ,          7.9 ,       1 ,    3.4 ,météo très défavorable ,16:29:00 ,07:34:00 ,-2
2019-01-10 ,-2                ,-13               ,               21 ,-2                    ,-4                 ,-9                    ,                3.9 ,                  84 ,            4.75  ,           1014 ,                94.375 ,              0 ,             0 ,-14            ,                 338 ,              329 ,                 332 ,          3.3 ,       1 ,    3.4 ,météo très défavorable ,16:31:00 ,07:33:00 ,-3
2019-01-11 ,-15               ,-19               ,               21 ,-19                   ,-16                ,-17                   ,                0.4 ,                  84 ,            8.375 ,           1030 ,                69.5   ,              0 ,             0 ,-29            ,                 329 ,              119 ,                 116 ,          0.3 ,       1 ,    3.4 ,météo très défavorable ,16:32:00 ,07:33:00 ,-16
