x                  ,y                  ,TOTAL_PRECIPITATION_FLAG ,SPEED_MAX_GUST_FLAG ,SNOW_ON_GROUND ,MIN_REL_HUMIDITY ,TOTAL_RAIN_FLAG ,LOCAL_DAY ,LOCAL_YEAR ,TOTAL_SNOW ,LOCAL_DATE          ,MIN_TEMPERATURE ,COOLING_DEGREE_DAYS_FLAG ,MAX_REL_HUMIDITY_FLAG ,MEAN_TEMPERATURE ,DIRECTION_MAX_GUST ,MAX_TEMPERATURE ,TOTAL_PRECIPITATION ,MAX_TEMPERATURE_FLAG ,DIRECTION_MAX_GUST_FLAG ,MEAN_TEMPERATURE_FLAG ,SPEED_MAX_GUST ,COOLING_DEGREE_DAYS ,SNOW_ON_GROUND_FLAG ,STATION_NAME                         ,LOCAL_MONTH ,HEATING_DEGREE_DAYS_FLAG ,MIN_TEMPERATURE_FLAG ,MIN_REL_HUMIDITY_FLAG ,MAX_REL_HUMIDITY ,CLIMATE_IDENTIFIER ,HEATING_DEGREE_DAYS ,PROVINCE_CODE ,TOTAL_RAIN ,ID                 ,TOTAL_SNOW_FLAG
-73.74166666666666 ,45.467777777777776 ,                         ,                    ,             2 ,              59 ,                ,        1 ,      2019 ,           ,2019-01-01 00:00:00 ,-12.8           ,                         ,                      ,-5.1             ,                30 ,2.5             ,               16.5 ,                     ,                        ,                      ,            50 ,                0   ,                    ,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL ,          1 ,                         ,                     ,                      ,              98 ,702S006            ,               23.1 ,QC            ,           ,702S006.2019.1.1   ,
-73.74166666666666 ,45.467777777777776 ,                         ,                    ,             2 ,              47 ,                ,        2 ,      2019 ,           ,2019-01-02 00:00:00 ,-15.4           ,                         ,                      ,-12.1            ,                   ,-8.7            ,                0.5 ,                     ,                        ,                      ,               ,                0   ,                    ,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL ,          1 ,                         ,                     ,                      ,              84 ,702S006            ,               30.1 ,QC            ,           ,702S006.2019.1.2   ,
-73.74166666666666 ,45.467777777777776 ,                         ,                    ,             2 ,              77 ,                ,        3 ,      2019 ,           ,2019-01-03 00:00:00 ,-14             ,                         ,                      ,-7.8             ,                 2 ,-1.6            ,                2.3 ,                     ,                        ,                      ,            31 ,                0   ,                    ,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL ,          1 ,                         ,                     ,                      ,              95 ,702S006            ,               25.8 ,QC            ,           ,702S006.2019.1.3   ,
-73.74166666666666 ,45.467777777777776 ,                         ,                    ,             6 ,              78 ,                ,        4 ,      2019 ,           ,2019-01-04 00:00:00 ,-1.9            ,                         ,                      ,0.5              ,                23 ,3               ,                2.3 ,                     ,                        ,                      ,            38 ,                0   ,                    ,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL ,          1 ,                         ,                     ,                      ,              99 ,702S006            ,               17.5 ,QC            ,           ,702S006.2019.1.4   ,
-73.74166666666666 ,45.467777777777776 ,                         ,                    ,             3 ,              84 ,                ,        5 ,      2019 ,           ,2019-01-05 00:00:00 ,0.2             ,                         ,                      ,1.2              ,                   ,2.3             ,                0   ,                     ,                        ,                      ,               ,                0   ,                    ,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL ,          1 ,                         ,                     ,                      ,              92 ,702S006            ,               16.8 ,QC            ,           ,702S006.2019.1.5   ,
-73.74166666666666 ,45.467777777777776 ,                         ,                    ,             2 ,              50 ,                ,        6 ,      2019 ,           ,2019-01-06 00:00:00 ,-12.9           ,                         ,                      ,-5.7             ,                34 ,1.5             ,                0.2 ,                     ,                        ,                      ,            46 ,                0   ,                    ,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL ,          1 ,                         ,                     ,                      ,              95 ,702S006            ,               23.7 ,QC            ,           ,702S006.2019.1.6   ,
-73.74166666666666 ,45.467777777777776 ,                         ,                    ,             2 ,              43 ,                ,        7 ,      2019 ,           ,2019-01-07 00:00:00 ,-17.1           ,                         ,                      ,-12.8            ,                10 ,-8.5            ,                3.2 ,                     ,                        ,                      ,            35 ,                0   ,                    ,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL ,          1 ,                         ,                     ,                      ,              88 ,702S006            ,               30.8 ,QC            ,           ,702S006.2019.1.7   ,
-73.74166666666666 ,45.467777777777776 ,                         ,                    ,             2 ,              83 ,                ,        8 ,      2019 ,           ,2019-01-08 00:00:00 ,-8.8            ,                         ,                      ,-3.7             ,                14 ,1.4             ,                5.4 ,                     ,                        ,                      ,            58 ,                0   ,                    ,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL ,          1 ,                         ,                     ,                      ,              97 ,702S006            ,               21.7 ,QC            ,           ,702S006.2019.1.8   ,
-73.74166666666666 ,45.467777777777776 ,                         ,                    ,             3 ,              73 ,                ,        9 ,      2019 ,           ,2019-01-09 00:00:00 ,-3              ,                         ,                      ,-0.9             ,                31 ,1.2             ,                0   ,                     ,                        ,                      ,            36 ,                0   ,                    ,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL ,          1 ,                         ,                     ,                      ,              94 ,702S006            ,               18.9 ,QC            ,           ,702S006.2019.1.9   ,
-73.74166666666666 ,45.467777777777776 ,                         ,                    ,            11 ,              62 ,                ,       10 ,      2019 ,           ,2019-01-10 00:00:00 ,-12.9           ,                         ,                      ,-7.9             ,                28 ,-2.8            ,                0.2 ,                     ,                        ,                      ,            48 ,                0   ,                    ,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL ,          1 ,                         ,                     ,                      ,              92 ,702S006            ,               25.9 ,QC            ,           ,702S006.2019.1.10  ,
