DATE       ,MAX_TEMPERATURE_C ,MIN_TEMPERATURE_C ,WINDSPEED_MAX_KMH ,TEMPERATURE_MORNING_C ,TEMPERATURE_NOON_C ,TEMPERATURE_EVENING_C ,PRECIP_TOTAL_DAY_MM ,HUMIDITY_MAX_PERCENT ,VISIBILITY_AVG_KM ,PRESSURE_MAX_MB ,CLOUDCOVER_AVG_PERCENT ,HEATINDEX_MAX_C ,DEWPOINT_MAX_C ,WINDTEMP_MAX_C ,WEATHER_CODE_MORNING ,WEATHER_CODE_NOON ,WEATHER_CODE_EVENING ,TOTAL_SNOW_MM ,UV_INDEX ,SUNHOUR ,OPINION                ,SUNSET   ,SUNRISE  ,TEMPERATURE_NIGHT_C
2022-01-01 ,1                 ,-1                ,                5 ,0                     ,1                  ,1                     ,                0.1 ,                 100 ,            2.5   ,           1011 ,                98.875 ,              1 ,             1 ,-1             ,                 248 ,              248 ,                 122 ,          0   ,       1 ,    3.3 ,météo très défavorable ,16:21:00 ,07:35:00 ,0
2022-01-02 ,-2                ,-8                ,               18 ,-6                    ,-7                 ,-7                    ,                3.7 ,                  95 ,            2.75  ,           1013 ,                96.75  ,              0 ,             0 ,-13            ,                 338 ,              338 ,                 338 ,          3.1 ,       1 ,    3.3 ,météo très défavorable ,16:22:00 ,07:35:00 ,-5
2022-01-03 ,-8                ,-16               ,                9 ,-14                   ,-11                ,-12                   ,                0.2 ,                  91 ,            9.375 ,           1027 ,                49.75  ,              0 ,             0 ,-22            ,                 323 ,              113 ,                 116 ,          0.2 ,       1 ,    6.9 ,météo très défavorable ,16:23:00 ,07:35:00 ,-10
2022-01-04 ,-2                ,-14               ,               22 ,-13                   ,-4                 ,-2                    ,                0.1 ,                  91 ,           10     ,           1027 ,                93.625 ,              0 ,             0 ,-18            ,                 122 ,              122 ,                 326 ,          0.1 ,       2 ,    3.3 ,météo très défavorable ,16:24:00 ,07:35:00 ,-12
2022-01-05 ,-0                ,-5                ,               13 ,-5                    ,-3                 ,-3                    ,                0   ,                  94 ,            8     ,           1020 ,                84.875 ,              0 ,             0 ,-8             ,                 143 ,              116 ,                 116 ,          0   ,       1 ,    5.1 ,météo très défavorable ,16:25:00 ,07:34:00 ,-3
2022-01-06 ,-1                ,-4                ,               24 ,-4                    ,-2                 ,-2                    ,                0.7 ,                  88 ,            8     ,           1007 ,                92.25  ,              0 ,             0 ,-11            ,                 119 ,              116 ,                 371 ,          0.6 ,       1 ,    5.1 ,météo très défavorable ,16:26:00 ,07:34:00 ,-1
2022-01-07 ,-2                ,-9                ,               13 ,-4                    ,-3                 ,-5                    ,                1.3 ,                  98 ,            5.5   ,           1011 ,                95.375 ,              0 ,             0 ,-7             ,                 332 ,              332 ,                 371 ,          1.1 ,       1 ,    3.3 ,météo très défavorable ,16:27:00 ,07:34:00 ,-3
2022-01-08 ,-12               ,-18               ,               12 ,-17                   ,-14                ,-14                   ,                0   ,                  90 ,           10     ,           1038 ,                29     ,              0 ,             0 ,-24            ,                 113 ,              116 ,                 116 ,          0   ,       1 ,    8.7 ,météo très défavorable ,16:29:00 ,07:34:00 ,-15
2022-01-09 ,3                 ,-9                ,               19 ,-6                    ,-2                 ,3                     ,                3.1 ,                 100 ,            7.125 ,           1028 ,                93.125 ,              3 ,             2 ,-12            ,                 332 ,              338 ,                 317 ,          2   ,       1 ,    3.4 ,météo très défavorable ,16:30:00 ,07:33:00 ,-6
2022-01-10 ,-5                ,-15               ,               21 ,-12                   ,-11                ,-12                   ,                0   ,                  79 ,            9.875 ,           1019 ,                40.75  ,              0 ,             0 ,-21            ,                 113 ,              116 ,                 116 ,          0   ,       1 ,    8.7 ,météo très défavorable ,16:31:00 ,07:33:00 ,-9
