"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Qualité des Données","Temp max.(°C)","Temp max. Indicateur","Temp min.(°C)","Temp min. Indicateur","Temp moy.(°C)","Temp moy. Indicateur","DJC (°C)","DJC Indicateur","DJR (°C)","DJR Indicateur","Pluie tot. (mm)","Pluie tot. Indicateur","Neige tot. (cm)","Neige tot. Indicateur","Précip. tot. (mm)","Précip. tot. Indicateur","Neige au sol (cm)","Neige au sol Indicateur","Dir. raf. max. (10s deg)","Dir. raf. max. Indicateur","Vit. raf. max. (km/h)","Vit. raf. max. Indicateur"
"-72,67","45,03","ABERCORN","7020040","1985-01-01","1985","01","01","","4,0","","-9,0","","-2,5","","20,5","","0,0","","5,4","","0,0","","5,4","","3","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-02","1985","01","02","","-5,0","","-8,0","","-6,5","","24,5","","0,0","","0,0","","0,0","","0,0","","0","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-03","1985","01","03","","-6,0","","-15,0","","-10,5","","28,5","","0,0","","0,0","","0,0","","0,0","","0","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-04","1985","01","04","","2,0","","-15,0","","-6,5","","24,5","","0,0","","0,0","","0,4","","0,4","","0","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-05","1985","01","05","","-3,0","","-15,0","","-9,0","","27,0","","0,0","","0,0","","0,0","","0,0","","0","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-06","1985","01","06","","-9,0","","-18,0","","-13,5","","31,5","","0,0","","0,0","","0,0","","0,0","","0","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-07","1985","01","07","","-10,0","","-20,5","","-15,3","","33,3","","0,0","","0,0","","8,2","","8,2","","0","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-08","1985","01","08","","-14,0","","-18,0","","-16,0","","34,0","","0,0","","0,0","","3,2","","3,2","","8","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-09","1985","01","09","","-14,0","","-22,5","","-18,3","","36,3","","0,0","","0,0","","0,0","","0,0","","9","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-10","1985","01","10","","-12,0","","-21,0","","-16,5","","34,5","","0,0","","0,0","","0,0","","0,0","","7","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-11","1985","01","11","","-11,0","","-23,0","E","-17,0","","35,0","","0,0","","0,0","","0,0","","0,0","","7","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-12","1985","01","12","","-10,0","","-16,0","","-13,0","","31,0","","0,0","","0,0","","2,5","","2,5","","6","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-13","1985","01","13","","-5,0","","-20,0","","-12,5","","30,5","","0,0","","0,0","","1,2","","1,2","","7","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-14","1985","01","14","","-3,0","","-10,0","","-6,5","","24,5","","0,0","","0,0","","5,6","","5,6","","6","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-15","1985","01","15","","-6,0","","-18,0","","-12,0","","30,0","","0,0","","0,0","","5,4","","5,4","","11","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-16","1985","01","16","","-17,0","","-27,5","","-22,3","","40,3","","0,0","","0,0","","0,0","","0,0","","11","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-17","1985","01","17","","-12,0","","-27,0","E","-19,5","","37,5","","0,0","","0,0","","2,4","","2,4","","10","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-18","1985","01","18","","-7,5","","-19,0","","-13,3","","31,3","","0,0","","0,0","","0,0","","0,0","","11","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-19","1985","01","19","","-3,0","","-17,0","","-10,0","","28,0","","0,0","","0,0","","1,6","","1,6","","11","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-20","1985","01","20","","-9,0","","-19,0","","-14,0","","32,0","","0,0","","0,0","","5,0","","5,0","","12","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-21","1985","01","21","","-12,0","","-21,0","","-16,5","","34,5","","0,0","","0,0","","6,2","","6,2","","17","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-22","1985","01","22","","-7,0","","-21,0","","-14,0","","32,0","","0,0","","0,0","","2,8","","2,8","","22","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-23","1985","01","23","","-5,0","","-9,0","","-7,0","","25,0","","0,0","","0,0","","5,4","","5,4","","23","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-24","1985","01","24","","-5,0","","-15,0","","-10,0","","28,0","","0,0","","0,0","","3,8","","3,8","","26","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-25","1985","01","25","","-3,0","","-13,0","E","-8,0","","26,0","","0,0","","0,0","","5,3","","5,3","","28","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-26","1985","01","26","","-7,0","","-21,0","","-14,0","","32,0","","0,0","","0,0","","3,4","","3,4","","28","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-27","1985","01","27","","-5,0","","-21,0","","-13,0","","31,0","","0,0","","0,0","","3,8","","3,8","","28","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-28","1985","01","28","","-3,5","","-15,0","","-9,3","","27,3","","0,0","","0,0","","0,0","","0,0","","33","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-29","1985","01","29","","-5,5","","-20,0","","-12,8","","30,8","","0,0","","0,0","","0,0","","0,0","","32","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-30","1985","01","30","","-7,0","","-24,0","E","-15,5","","33,5","","0,0","","0,0","","0,0","","0,0","","30","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-01-31","1985","01","31","","-5,0","","-32,0","","-18,5","","36,5","","0,0","","0,0","","3,0","","3,0","","29","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-02-01","1985","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-02-02","1985","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-02-03","1985","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-02-04","1985","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-02-05","1985","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-02-06","1985","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-02-07","1985","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-02-08","1985","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-02-09","1985","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-02-10","1985","02","10","","","","","","","","","","","","","","","","","","","","","","",""
